baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
7102.33807718255	5.87582400314278	0.131240419359413	44.7714509891296	0	0	ALDOA
663.481455860497	3.29559394520989	0.0848482307074326	38.8410449779856	0	0	ALG11
3386.65510240613	5.82457024200707	0.12325523267845	47.2561701068083	0	0	ANKHD1
524.30594066455	6.96993390668869	0.165574923659153	42.0953472461613	0	0	ANKHD1-EIF4EBP3
491.877172141033	4.42107904542582	0.103364302403875	42.7718171806682	0	0	AP3S2
1607.90448739572	4.67643176964158	0.11334559241414	41.2581704329087	0	0	ATP5F1E
673.639838816523	7.1774521021925	0.186083545525091	38.5711271888072	0	0	BCLAF1P2
657.837573632074	7.6277707556426	0.138531618591292	55.0615869013033	0	0	CHKB
1212.53991457997	10.0815733357835	0.215743200535905	46.729506703993	0	0	CHML
680.911219841098	4.48930588536401	0.0961339793128418	46.6984298106998	0	0	CHMP3
1997.83931081519	6.89660158614751	0.130714923138898	52.7606291656474	0	0	CSNK1E
478.215502134932	5.79892181489837	0.147082881112087	39.426218544626	0	0	CYB5R4
8823.63490251728	16.1473387759582	0.350536835626325	46.0645990231147	0	0	DDX39B
1144.53285100616	7.17215272762331	0.111231622197713	64.4794401620333	0	0	EGLN2
1494.03342423823	8.32934103918558	0.145981488120306	57.0575156236334	0	0	EIF3C
6478.47613385501	15.701762775935	0.3463571262933	45.3340254435491	0	0	EIF4A1
992.063445991425	6.60509753962071	0.135965809049747	48.5791066576455	0	0	ERVK3-1
3515.16925423111	8.61448140821438	0.195440899510752	44.077168237452	0	0	H2AX
664.073146594661	5.49686803219396	0.118175797460955	46.5143299245358	0	0	H3P6
6952.94822962201	11.1168710936367	0.229689037832623	48.3996589412234	0	0	H4C14
223.730440199796	5.97904364378489	0.136280547979058	43.8730525555537	0	0	HNRNPA1P10
968.033293419232	6.85860681540504	0.124454611078615	55.1093025478391	0	0	HNRNPH2
327.60491555412	6.76994711660956	0.171176237904902	39.5495729983892	0	0	IFT80
360.934353877325	5.85149095969467	0.125179218719874	46.7449071781567	0	0	INO80B
681.586715934629	4.69148045985158	0.117848673162995	39.8093617342882	0	0	MOB4
403.550969023501	5.47422705897161	0.137829633101143	39.7173447813975	0	0	MSH5
2322.03100835476	7.77644253445669	0.145318971816363	53.512920145648	0	0	NME2
986.451570080143	6.24171636026269	0.111235720246501	56.1125180511341	0	0	PCBP1-AS1
347.544524155567	3.93464267046151	0.0944573402608949	41.6552346233111	0	0	PHF11
371.810093869391	7.41613740289834	0.176052833325493	42.1244990086986	0	0	PLSCR3
1275.04008206411	4.92904594330995	0.128092741462855	38.4802908191272	0	0	POLR2J3
1070.11672257024	3.99244205533576	0.0973984332392072	40.9908242110062	0	0	POLR2M
837.046272882921	5.12200274565041	0.106549683457005	48.0714965963953	0	0	PRKRIP1
254.346556423136	5.86773900180154	0.152330852934105	38.5197016151404	0	0	PTCD1
2997.03185708476	14.5896921460168	0.360763230696526	40.4411838696767	0	0	PTPRCAP
349.850831089813	8.77111202563596	0.228302086098121	38.4188869034962	0	0	RIOX1
870097.221111727	22.7710815087764	0.405574013619807	56.1453168696415	0	0	RN7SL2
1199.26355214484	5.2591355478524	0.125516327324544	41.9000114164748	0	0	RNASEK
8917.78156787624	6.53270577634632	0.137593999130832	47.4781299883194	0	0	RPL17
