seqnames	start	end	width	strand	ngains	nlosses	ncases	gains	losses	cumstart	cumend
chr1	261839	1076128	814290	*	0	4	34	0	0.117647058823529	261839	1076128
chr1	1076129	1082085	5957	*	0	3	34	0	0.0882352941176471	1076129	1082085
chr1	1082086	1123905	41820	*	0	4	34	0	0.117647058823529	1082086	1123905
chr1	1123906	1182964	59059	*	0	3	34	0	0.0882352941176471	1123906	1182964
chr1	1182965	1740188	557224	*	0	4	34	0	0.117647058823529	1182965	1740188
chr1	1740189	1740197	9	*	0	3	34	0	0.0882352941176471	1740189	1740197
chr1	1740198	1841138	100941	*	0	4	34	0	0.117647058823529	1740198	1841138
chr1	1841139	1841180	42	*	0	3	34	0	0.0882352941176471	1841139	1841180
chr1	1841181	2106706	265526	*	0	4	34	0	0.117647058823529	1841181	2106706
chr1	2106707	2107383	677	*	0	4	34	0	0.117647058823529	2106707	2107383
chr1	2107384	2119328	11945	*	0	5	34	0	0.147058823529412	2107384	2119328
chr1	2119329	2120948	1620	*	0	5	34	0	0.147058823529412	2119329	2120948
chr1	2120949	2122395	1447	*	0	6	34	0	0.176470588235294	2120949	2122395
chr1	2122396	2122801	406	*	0	6	34	0	0.176470588235294	2122396	2122801
chr1	2122802	2123982	1181	*	0	7	34	0	0.205882352941176	2122802	2123982
chr1	2123983	2124436	454	*	0	7	34	0	0.205882352941176	2123983	2124436
chr1	2124437	2139147	14711	*	1	8	34	0.0294117647058824	0.235294117647059	2124437	2139147
chr1	2139148	2139829	682	*	1	7	34	0.0294117647058824	0.205882352941176	2139148	2139829
chr1	2139830	2161526	21697	*	2	8	34	0.0588235294117647	0.235294117647059	2139830	2161526
chr1	2161527	2161527	1	*	1	7	34	0.0294117647058824	0.205882352941176	2161527	2161527
chr1	2161528	2164705	3178	*	1	8	34	0.0294117647058824	0.235294117647059	2161528	2164705
chr1	2164706	2166861	2156	*	0	7	34	0	0.205882352941176	2164706	2166861
chr1	2166862	2255706	88845	*	0	7	34	0	0.205882352941176	2166862	2255706
chr1	2255707	2256851	1145	*	0	5	34	0	0.147058823529412	2255707	2256851
chr1	2256852	2257314	463	*	0	5	34	0	0.147058823529412	2256852	2257314
chr1	2257315	2257394	80	*	0	4	34	0	0.117647058823529	2257315	2257394
chr1	2257395	2338180	80786	*	0	4	34	0	0.117647058823529	2257395	2338180
chr1	2338181	2339487	1307	*	0	3	34	0	0.0882352941176471	2338181	2339487
chr1	2339488	2587187	247700	*	0	4	34	0	0.117647058823529	2339488	2587187
chr1	2587188	2588093	906	*	0	3	34	0	0.0882352941176471	2587188	2588093
chr1	2588094	2643795	55702	*	0	4	34	0	0.117647058823529	2588094	2643795
chr1	2643796	2643915	120	*	0	3	34	0	0.0882352941176471	2643796	2643915
chr1	2643916	3071079	427164	*	0	4	34	0	0.117647058823529	2643916	3071079
chr1	3071080	3072408	1329	*	0	3	34	0	0.0882352941176471	3071080	3072408
chr1	3072409	3112995	40587	*	0	4	34	0	0.117647058823529	3072409	3112995
chr1	3112996	3113163	168	*	0	3	34	0	0.0882352941176471	3112996	3113163
chr1	3113164	3230584	117421	*	0	4	34	0	0.117647058823529	3113164	3230584
chr1	3230585	3232424	1840	*	0	3	34	0	0.0882352941176471	3230585	3232424
chr1	3232425	3584100	351676	*	0	4	34	0	0.117647058823529	3232425	3584100
chr1	3584101	3585573	1473	*	0	3	34	0	0.0882352941176471	3584101	3585573
chr1	3585574	3852595	267022	*	0	4	34	0	0.117647058823529	3585574	3852595
chr1	3852596	3854745	2150	*	0	3	34	0	0.0882352941176471	3852596	3854745
chr1	3854746	3949819	95074	*	0	4	34	0	0.117647058823529	3854746	3949819
chr1	3949820	3950567	748	*	0	3	34	0	0.0882352941176471	3949820	3950567
chr1	3950568	4177696	227129	*	0	4	34	0	0.117647058823529	3950568	4177696
chr1	4177697	4179267	1571	*	0	3	34	0	0.0882352941176471	4177697	4179267
chr1	4179268	4260242	80975	*	0	4	34	0	0.117647058823529	4179268	4260242
chr1	4260243	4260410	168	*	0	3	34	0	0.0882352941176471	4260243	4260410
chr1	4260411	4451406	190996	*	0	4	34	0	0.117647058823529	4260411	4451406
chr1	4451407	4452220	814	*	0	3	34	0	0.0882352941176471	4451407	4452220
chr1	4452221	4682284	230064	*	0	4	34	0	0.117647058823529	4452221	4682284
chr1	4682285	4683021	737	*	0	3	34	0	0.0882352941176471	4682285	4683021
chr1	4683022	4867620	184599	*	0	4	34	0	0.117647058823529	4683022	4867620
chr1	4867621	4868510	890	*	0	3	34	0	0.0882352941176471	4867621	4868510
chr1	4868511	5061291	192781	*	0	4	34	0	0.117647058823529	4868511	5061291
chr1	5061292	5066361	5070	*	0	4	34	0	0.117647058823529	5061292	5066361
chr1	5066362	5101086	34725	*	0	5	34	0	0.147058823529412	5066362	5101086
chr1	5101087	5101370	284	*	0	4	34	0	0.117647058823529	5101087	5101370
chr1	5101371	5292635	191265	*	0	5	34	0	0.147058823529412	5101371	5292635
chr1	5292636	5293116	481	*	0	4	34	0	0.117647058823529	5292636	5293116
chr1	5293117	5324268	31152	*	0	5	34	0	0.147058823529412	5293117	5324268
chr1	5324269	5326596	2328	*	0	5	34	0	0.147058823529412	5324269	5326596
chr1	5326597	5372734	46138	*	0	6	34	0	0.176470588235294	5326597	5372734
chr1	5372735	5372904	170	*	0	5	34	0	0.147058823529412	5372735	5372904
chr1	5372905	6224567	851663	*	0	6	34	0	0.176470588235294	5372905	6224567
chr1	6224568	6224700	133	*	0	5	34	0	0.147058823529412	6224568	6224700
chr1	6224701	6363900	139200	*	1	5	34	0.0294117647058824	0.147058823529412	6224701	6363900
chr1	6363901	6364775	875	*	1	4	34	0.0294117647058824	0.117647058823529	6363901	6364775
chr1	6364776	6582064	217289	*	1	5	34	0.0294117647058824	0.147058823529412	6364776	6582064
chr1	6582065	6582113	49	*	1	4	34	0.0294117647058824	0.117647058823529	6582065	6582113
chr1	6582114	6592307	10194	*	1	5	34	0.0294117647058824	0.147058823529412	6582114	6592307
chr1	6592308	6592796	489	*	1	4	34	0.0294117647058824	0.117647058823529	6592308	6592796
chr1	6592797	6855781	262985	*	1	5	34	0.0294117647058824	0.147058823529412	6592797	6855781
chr1	6855782	6856529	748	*	1	4	34	0.0294117647058824	0.117647058823529	6855782	6856529
chr1	6856530	6859268	2739	*	1	4	34	0.0294117647058824	0.117647058823529	6856530	6859268
chr1	6859269	6859300	32	*	1	3	34	0.0294117647058824	0.0882352941176471	6859269	6859300
chr1	6859301	7038556	179256	*	1	4	34	0.0294117647058824	0.117647058823529	6859301	7038556
chr1	7038557	7038780	224	*	1	3	34	0.0294117647058824	0.0882352941176471	7038557	7038780
chr1	7038781	7087828	49048	*	1	4	34	0.0294117647058824	0.117647058823529	7038781	7087828
chr1	7087829	7088445	617	*	1	3	34	0.0294117647058824	0.0882352941176471	7087829	7088445
chr1	7088446	7181285	92840	*	1	4	34	0.0294117647058824	0.117647058823529	7088446	7181285
chr1	7181286	7183997	2712	*	1	3	34	0.0294117647058824	0.0882352941176471	7181286	7183997
chr1	7183998	7367204	183207	*	1	4	34	0.0294117647058824	0.117647058823529	7183998	7367204
chr1	7367205	7369724	2520	*	1	4	34	0.0294117647058824	0.117647058823529	7367205	7369724
chr1	7369725	7377994	8270	*	1	5	34	0.0294117647058824	0.147058823529412	7369725	7377994
chr1	7377995	7378307	313	*	1	4	34	0.0294117647058824	0.117647058823529	7377995	7378307
chr1	7378308	7470404	92097	*	1	5	34	0.0294117647058824	0.147058823529412	7378308	7470404
chr1	7470405	7471598	1194	*	1	4	34	0.0294117647058824	0.117647058823529	7470405	7471598
chr1	7471599	7668497	196899	*	1	4	34	0.0294117647058824	0.117647058823529	7471599	7668497
chr1	7668498	7670525	2028	*	1	3	34	0.0294117647058824	0.0882352941176471	7668498	7670525
chr1	7670526	7825150	154625	*	1	4	34	0.0294117647058824	0.117647058823529	7670526	7825150
chr1	7825151	7825174	24	*	1	3	34	0.0294117647058824	0.0882352941176471	7825151	7825174
chr1	7825175	7977233	152059	*	1	4	34	0.0294117647058824	0.117647058823529	7825175	7977233
chr1	7977234	7977869	636	*	1	3	34	0.0294117647058824	0.0882352941176471	7977234	7977869
chr1	7977870	8456373	478504	*	1	4	34	0.0294117647058824	0.117647058823529	7977870	8456373
chr1	8456374	8456550	177	*	1	3	34	0.0294117647058824	0.0882352941176471	8456374	8456550
chr1	8456551	8511776	55226	*	1	4	34	0.0294117647058824	0.117647058823529	8456551	8511776
chr1	8511777	8512026	250	*	1	3	34	0.0294117647058824	0.0882352941176471	8511777	8512026
chr1	8512027	8606362	94336	*	1	4	34	0.0294117647058824	0.117647058823529	8512027	8606362
chr1	8606363	8606886	524	*	1	3	34	0.0294117647058824	0.0882352941176471	8606363	8606886
chr1	8606887	8739969	133083	*	1	3	34	0.0294117647058824	0.0882352941176471	8606887	8739969
chr1	8739970	8740805	836	*	1	2	34	0.0294117647058824	0.0588235294117647	8739970	8740805
chr1	8740806	8742326	1521	*	1	3	34	0.0294117647058824	0.0882352941176471	8740806	8742326
chr1	8742327	8742487	161	*	1	2	34	0.0294117647058824	0.0588235294117647	8742327	8742487
chr1	8742488	8747838	5351	*	1	3	34	0.0294117647058824	0.0882352941176471	8742488	8747838
chr1	8747839	8747842	4	*	1	2	34	0.0294117647058824	0.0588235294117647	8747839	8747842
